date,Wind,Solar,Load,month,day,weekday,hour
2022-12-31 23:00:00+0000,32006.5,0.0,38346.0,1,1,6,0
2023-01-01 00:00:00+0000,33173.5,0.0,37777.25,1,1,6,1
2023-01-01 01:00:00+0000,33357.0,0.0,36939.75,1,1,6,2
2023-01-01 02:00:00+0000,30956.75,0.0,35932.5,1,1,6,3
2023-01-01 03:00:00+0000,30401.25,0.0,35486.25,1,1,6,4
2023-01-01 04:00:00+0000,30699.75,0.0,35647.25,1,1,6,5
2023-01-01 05:00:00+0000,30593.0,2.0,35231.75,1,1,6,6
2023-01-01 06:00:00+0000,31197.75,2.25,36172.25,1,1,6,7
2023-01-01 07:00:00+0000,30058.0,506.75,36829.25,1,1,6,8
2023-01-01 08:00:00+0000,29132.5,3320.75,39226.5,1,1,6,9
2023-01-01 09:00:00+0000,27830.5,6353.25,41005.5,1,1,6,10
2023-01-01 10:00:00+0000,27019.0,8440.75,43703.0,1,1,6,11
2023-01-01 11:00:00+0000,25451.75,8854.5,44205.75,1,1,6,12
2023-01-01 12:00:00+0000,24627.25,7771.75,43621.75,1,1,6,13
2023-01-01 13:00:00+0000,27266.75,4975.25,43231.5,1,1,6,14
2023-01-01 14:00:00+0000,28993.0,1786.5,43691.75,1,1,6,15
2023-01-01 15:00:00+0000,27635.5,105.25,45668.75,1,1,6,16
2023-01-01 16:00:00+0000,26489.75,3.25,48732.0,1,1,6,17
2023-01-01 17:00:00+0000,25821.5,2.0,48882.0,1,1,6,18
2023-01-01 18:00:00+0000,25290.25,0.0,47468.5,1,1,6,19
2023-01-01 19:00:00+0000,25239.75,0.0,44883.5,1,1,6,20
2023-01-01 20:00:00+0000,25576.5,0.0,43222.75,1,1,6,21
2023-01-01 21:00:00+0000,23634.0,0.0,42278.0,1,1,6,22
2023-01-01 22:00:00+0000,22934.5,0.0,39092.75,1,1,6,23
2023-01-01 23:00:00+0000,21566.0,0.0,36789.75,1,2,0,0
2023-01-02 00:00:00+0000,20954.25,0.0,35423.75,1,2,0,1
2023-01-02 01:00:00+0000,22265.75,0.0,35284.25,1,2,0,2
2023-01-02 02:00:00+0000,23580.0,0.0,36058.5,1,2,0,3
2023-01-02 03:00:00+0000,25389.75,0.0,37796.0,1,2,0,4
2023-01-02 04:00:00+0000,26695.0,0.0,40899.0,1,2,0,5
2023-01-02 05:00:00+0000,28883.25,2.25,47069.5,1,2,0,6
2023-01-02 06:00:00+0000,30387.0,2.25,52317.25,1,2,0,7
2023-01-02 07:00:00+0000,32144.75,425.0,56231.0,1,2,0,8
2023-01-02 08:00:00+0000,32258.75,2681.0,57444.75,1,2,0,9
2023-01-02 09:00:00+0000,30728.25,5208.25,59241.0,1,2,0,10
2023-01-02 10:00:00+0000,30241.5,6966.25,60654.5,1,2,0,11
2023-01-02 11:00:00+0000,30052.25,7200.5,61571.75,1,2,0,12
2023-01-02 12:00:00+0000,30171.0,5663.25,60448.0,1,2,0,13
2023-01-02 13:00:00+0000,30465.5,3211.25,59188.25,1,2,0,14
2023-01-02 14:00:00+0000,29380.25,969.0,59014.0,1,2,0,15
2023-01-02 15:00:00+0000,28861.0,47.0,59885.5,1,2,0,16
2023-01-02 16:00:00+0000,29072.25,4.0,61094.0,1,2,0,17
2023-01-02 17:00:00+0000,29465.75,2.25,60650.25,1,2,0,18
2023-01-02 18:00:00+0000,29018.0,0.0,59584.0,1,2,0,19
2023-01-02 19:00:00+0000,28110.5,0.0,56001.0,1,2,0,20
2023-01-02 20:00:00+0000,26910.0,0.0,53154.25,1,2,0,21
2023-01-02 21:00:00+0000,25540.5,0.0,50189.5,1,2,0,22
2023-01-02 22:00:00+0000,24628.0,0.0,47103.5,1,2,0,23
2023-01-02 23:00:00+0000,23422.75,0.0,44238.25,1,3,1,0
2023-01-03 00:00:00+0000,22250.5,0.0,42383.5,1,3,1,1
2023-01-03 01:00:00+0000,20770.25,0.0,41816.5,1,3,1,2
2023-01-03 02:00:00+0000,19314.25,0.0,41849.75,1,3,1,3
2023-01-03 03:00:00+0000,17929.75,0.0,43469.0,1,3,1,4
2023-01-03 04:00:00+0000,16469.5,0.0,45864.5,1,3,1,5
2023-01-03 05:00:00+0000,15539.5,2.0,50854.75,1,3,1,6
2023-01-03 06:00:00+0000,14766.0,2.5,55893.0,1,3,1,7
2023-01-03 07:00:00+0000,14169.75,230.25,58364.25,1,3,1,8
2023-01-03 08:00:00+0000,13654.75,2430.25,59363.25,1,3,1,9
2023-01-03 09:00:00+0000,12884.25,5867.75,60057.25,1,3,1,10
2023-01-03 10:00:00+0000,11667.25,9214.75,60964.75,1,3,1,11
2023-01-03 11:00:00+0000,10928.75,10080.5,60692.75,1,3,1,12
2023-01-03 12:00:00+0000,11226.0,8349.5,59218.0,1,3,1,13
